product_code,product_name,stock,recent_months,recent_months_with_sales,recent_units_sold,recent_average_monthly_sales,recent_sales_stddev,months_with_data,annual_units_sold,average_monthly_sales,sales_stddev,recommended_order
5743984,"Furosemida Sandoz MG, 40 mg Blister 60 Unidade(s) Comp...[60]",2.0,"JUN, JUL_2, AGO_2",3,69.0,23.0,15.57776192739723,14,434.0,28.933333333333334,14.021253708408373,47
5065487,"Bisoprolol Sandoz MG, 5 mg Blister 56 Unidade(s) Comp revest pelic...[56]",11.0,"JUN, JUL_2, AGO_2",3,112.0,37.333333333333336,4.714045207910317,15,512.0,34.13333333333333,9.76296858314906,35
5643887,"Tansulosina Sandoz MG, 0.4 mg Blister 30 Unidade(s) Caps LP...[30]",12.0,"JUN, JUL_2, AGO_2",3,107.0,35.666666666666664,4.189935029992179,15,521.0,34.733333333333334,10.440093656455174,31
5045273,"Pantoprazol Sandoz MG, 20 mg Blister 56 Unidade(s) Comp GR...[56]",5.0,"JUN, JUL_2, AGO_2",3,73.0,24.333333333333332,1.8856180831641267,15,359.0,23.933333333333334,6.495810615739621,23
5072137,"Nebivolol Sandoz MG, 5 mg Blister 28 Unidade(s) Comp...[28]",11.0,"JUN, JUL_2, AGO_2",3,64.0,21.333333333333332,6.599663291074443,15,289.0,19.266666666666666,7.549540089009102,22
5930888,"Omeprazol Sandoz MG, 20 mg Blister 56 Unidade(s) Caps GR...[56]",18.0,"JUN, JUL_2, AGO_2",3,70.0,23.333333333333332,8.259674462242577,14,271.0,18.066666666666666,7.451770855903239,19
4985685,"Metformina Sandoz MG, 850 mg Blister 60 Unidade(s) Comp revest pelic...[60]",13.0,"JUN, JUL_2, AGO_2",3,79.0,26.333333333333332,3.299831645537222,14,332.0,22.133333333333333,8.073550781547251,19
5999883,"Amlodipina Sandoz MG, 5 mg lsthistvendas.repListaHistoricoVendasLote Blister 60 Unidade(s) Comp...[60]",9.0,"JUN, JUL_2, AGO_2",3,73.0,24.333333333333332,1.247219128924647,14,316.0,21.066666666666666,7.066037707859255,18
5313309,"Atorvastatina Sandoz MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",19.0,"JUN, JUL_2, AGO_2",3,79.0,26.333333333333332,3.6817870057290873,15,341.0,22.733333333333334,8.417970196087785,14
5828256,"Atorvastatina/Ezetimiba Sandoz , 40 mg + 10 mg Blister 30 Unidade(s) Comp revest pelic...[30]",0.0,"JUN, JUL_2, AGO_2",2,17.0,5.666666666666667,4.4969125210773475,12,66.0,4.4,3.912373533632323,14
5174586,"Metformina Sandoz MG, 1000 mg Blister 60 Unidade(s) Comp revest pelic...[60]",23.0,"JUN, JUL_2, AGO_2",3,92.0,30.666666666666668,3.2998316455372216,15,490.0,32.666666666666664,11.187294380481616,14
5247481,"Sertralina Sandoz MG, 100 mg Blister 60 Unidade(s) Comp revest pelic...[60]",5.0,"JUN, JUL_2, AGO_2",3,45.0,15.0,1.4142135623730951,15,227.0,15.133333333333333,5.51200709562517,13
5697974,"Rosuvastatina Sandoz MG, 20 mg Blister 30 Unidade(s) Comp revest pelic...[30]",9.0,"JUN, JUL_2, AGO_2",3,54.0,18.0,1.4142135623730951,15,198.0,13.2,5.1406873729752,12
5313325,"Atorvastatina Sandoz MG, 40 mg Blister 28 Unidade(s) Comp revest pelic...[28]",12.0,"JUN, JUL_2, AGO_2",3,51.0,17.0,2.160246899469287,14,135.0,9.0,4.898979485566356,9
5435284,"Terbinafina Sandoz MG, 250 mg x 28 comp...[28]",3.0,"JUN, JUL_2, AGO_2",3,29.0,9.666666666666666,0.9428090415820634,14,91.0,6.066666666666666,3.0214051182999095,9
5814736,"Sitagliptina Sandoz MG, 50 mg Blister 28 Unidade(s) Comp revest pelic...[28]",4.0,"JUN, JUL_2, AGO_2",3,21.0,7.0,2.8284271247461903,14,78.0,5.2,2.737395355686375,8
5247184,"Sertralina Sandoz MG, 50 mg Blister 60 Unidade(s) Comp revest pelic...[60]",9.0,"JUN, JUL_2, AGO_2",3,41.0,13.666666666666666,0.9428090415820634,14,277.0,18.466666666666665,10.20370303152515,7
3217288,"Enalapril Sandoz MG, 5 mg x 60 comp...[60]",3.0,"JUN, JUL_2, AGO_2",3,17.0,5.666666666666667,2.494438257849294,14,65.0,4.333333333333333,2.521022720158538,7
5068689,"Enalapril/Hidroclorotiazida Sandoz MG, 20 mg + 12.5 mg Blister 60 Unidade(s) Comp...[60]",7.0,"JUN, JUL_2, AGO_2",3,26.0,8.666666666666666,2.494438257849294,15,118.0,7.866666666666666,3.5188381921057723,6
5602677,"Ramipril Sandoz MG, 5 mg x 60 comp...[60]",7.0,"JUN, JUL_2, AGO_2",3,22.0,7.333333333333333,3.39934634239519,5,28.0,1.8666666666666667,3.363860216411431,6
5395322,"Tansulosina Sandoz MG, 0.4 mg Blister 30 Unidade(s) Comp LP...[30]",7.0,"JUN, JUL_2, AGO_2",3,28.0,9.333333333333334,1.247219128924647,15,107.0,7.133333333333334,3.3836206774532056,5
5219514,"Paroxetina Sandoz MG, 20 mg x 60 comp rev...[60]",10.0,"JUN, JUL_2, AGO_2",3,32.0,10.666666666666666,2.0548046676563256,15,149.0,9.933333333333334,2.8158282775923835,5
5268917,"Montelucaste Sandoz MG, 10 mg Blister 28 Unidade(s) Comp revest pelic...[28]",6.0,"JUN, JUL_2, AGO_2",3,21.0,7.0,2.160246899469287,14,82.0,5.466666666666667,3.138293945583952,5
5819776,"Vildagliptina Sandoz MG, 50 mg Blister 56 Unidade(s) Comp...[56]",0.0,"JUN, JUL_2, AGO_2",2,6.0,2.0,1.632993161855452,12,22.0,1.4666666666666666,1.2036980056845192,5
5851142,"Rosuvastatina/Ezetimiba Sandoz , 20 mg + 10 mg Blister 30 Unidade(s) Comp revest pelic...[30]",9.0,"JUN, JUL_2, AGO_2",3,32.0,10.666666666666666,1.247219128924647,14,89.0,5.933333333333334,4.479087208597553,4
5291406,"Rosuvastatina Sandoz MG, 10 mg Blister 60 Unidade(s) Comp revest pelic...[60]",7.0,"JUN, JUL_2, AGO_2",3,28.0,9.333333333333334,0.4714045207910317,14,111.0,7.4,3.6660605559646724,4
5795679,"Venlafaxina Sandoz MG, 150 mg Blister 30 Unidade(s) Caps LP...[30]",0.0,"JUN, JUL_2, AGO_2",1,3.0,1.0,1.4142135623730951,9,66.0,4.4,5.314132102234569,4
5493788,"Claritromicina Sandoz MG, 500 mg x 16 comp rev...[16]",0.0,"JUN, JUL_2, AGO_2",1,3.0,1.0,1.4142135623730951,1,3.0,0.2,0.7483314773547882,4
