Código,Designação,TUnd,source_file
"5877675, 5877733, 5806948, 5806963, 5783949, 5783956, 5260542, 5260559, 5260575, 5678776, 5069422, 5069463, 5069539, 5800115, 5261615, 5261656, 5261722, 5900105, 5434857, 5434923, 5069224, 5069273, 5808860, 5416664, 5313275, 5313309, 5313325, 5061064, 5061106, 5061130, 5060769, 5060801, 5317037, 5317052, 5317102, 5863311, 5863329, 5863337, 5863345, 5129622, 5642863, 5642848, 5642830, 5642822",Atorvastatina,4612.0,genericos.csv
"5720941, 5266580, 2978195, 4877981, 5289111, 3809191, 5032495, 5406285, 4821690, 5283056, 5283072, 2245397, 5680954, 3870482, 2175594, 5930888, 5879341, 5198148, 5198221, 5595566, 5769971",Omeprazol,1593.0,genericos.csv
"5898903, 5341672, 5201819, 5742457, 5290598, 5586946, 5602446, 5587076, 5352414, 5113881, 5065487, 5725379, 5725445, 5819115, 5817069",Bisoprolol,1357.0,genericos.csv
"5308697, 5308093, 5031729, 5005764, 5307491, 5306394, 5306899, 5740840, 5740824, 4884888, 5415989, 5247481, 5247184, 5036025, 5035977, 4741989, 4740783",Sertralina,1290.0,genericos.csv
"5818869, 5809314, 5811849, 5171533, 5062369, 5731518, 5731476, 5304472, 5304431, 5563689, 5174586, 4985685, 5755715, 5755673, 5755707, 5080262",Metformina,1251.0,genericos.csv
"5117866, 5713318, 5729835, 5649975, 5650239, 5237649, 5237557, 5238647, 5829916, 5829866, 5717020, 5681234, 5280102, 5280169, 5280045, 5280219, 5049804, 5664164, 5664230, 5049846, 5664404, 5664115, 5238720, 5713573, 5150875, 5713334, 5405550, 5405576, 5443544, 5405634, 5701719, 5701677, 5047766",Quetiapina,1165.0,genericos.csv
"5679063, 5679071, 5705066, 5705074, 5705033, 5718317, 5888532, 5665427, 5701958, 5706130, 5291406, 5697974, 5291364, 5726633, 5726641, 5726625, 5714308, 5714324, 5714258, 5715677, 5715719, 5665971, 5666078, 5665930, 5702949, 5702964, 5664065",Rosuvastatina,1145.0,genericos.csv
"5370267, 5726542, 5326772, 5719364, 5043138, 5043161, 5043179, 5043229, 5838016, 5838040, 5369046, 5171616, 5045273, 5045315, 5083613, 5083654, 5099049, 5129242, 5099064, 5101001, 5101019",Pantoprazol,1137.0,genericos.csv
"5669429, 5669437, 5635644, 5635602, 5635610, 5635636, 5742838, 5742820, 5631270, 5631437, 5631056, 5631122, 5631148, 5631155, 5636345, 5635875, 5641352, 5859145, 5675020, 5732136, 5675012, 5636063, 5635859, 5635933, 5656368, 5656376, 5660907",Pregabalina,917.0,genericos.csv
"5321054, 5592019, 2707297, 5850375, 5721808, 5118534, 5366547, 5875638",Paracetamol,866.0,genericos.csv
"5895792, 5895990, 5349238, 5228085, 5813191, 5643887, 5395322, 5886247, 5637889, 5644489, 5712815",Tansulosina,816.0,genericos.csv
"5647904, 5068788, 3994688",Zolpidem,767.0,genericos.csv
"5644018, 5642020, 5754122, 5634134, 5634159, 5779319, 5634670, 5634662, 5634738, 5762075, 5799648",Duloxetina,705.0,genericos.csv
"5669759, 5456009, 5164769, 5164926, 5343553, 5488671",Tramadol/Paracetamol,683.0,genericos.csv
"5823422, 5823448, 5823463, 5421987, 9682310, 9682328, 5816590, 9682336, 5816699, 4182887, 4183786, 5837489, 5837588, 5837687, 2584084, 2584282, 2584480, 5446380",Alprazolam,678.0,genericos.csv
"5947783, 5087945, 5644612, 5652391, 5653191, 5719836, 5106935, 5106976, 5954888, 5955588, 5362983, 5956081, 5042478, 5204193, 5850193, 5879390, 5053020, 5879564, 5053046, 5879572, 5658299, 5659099",Mirtazapina,661.0,genericos.csv
"5727029, 5673843, 5680632, 5680624, 4017083, 5695804, 5004593, 5684790, 5535885, 5254412, 5254370, 5302914, 5302872, 5000138, 5999883, 5004098, 5003793",Amlodipina,620.0,genericos.csv
"5239546, 5289756, 5289772, 5251400, 5251426, 5239579, 5239603, 5623855, 5623863, 5894712, 5894720",Lercanidipina,619.0,genericos.csv
"5694120, 4867081, 4867685, 4868287, 5939483, 5939889, 5337332, 5337068, 5337159, 5337241, 5154786, 5885264, 5885322, 5885363, 5602701, 5666987, 5602669, 5667183, 5602677, 5667381, 5033923, 5033139, 5033840",Ramipril,603.0,genericos.csv
"5223151, 5193636, 5267414, 5207717, 5238324, 5727656, 5269873, 5207550, 5269832, 5194311",Clopidogrel,572.0,genericos.csv
