product_group,Código,Designação,TUnd,source_file
Alprazolam,5823448,"Alprazolam Farmoz MG, 0.5 mg Blister 60 Unidade(s) Comp...[60]",154.0,genericos.csv
Alprazolam,5823422,"Alprazolam Farmoz MG, 0.25 mg Blister 60 Unidade(s) Comp...[60]",78.0,genericos.csv
Alprazolam,9682328,"Alprazolam Pazolam MG, 0.5 mg Blister 60 Unidade(s) Comp...[60]",75.0,genericos.csv
Alprazolam,5816590,"Alprazolam Pazolam MG, 0.5 mg Blister 60 Unidade(s) Comp LM...[60]",51.0,genericos.csv
Alprazolam,5816699,"Alprazolam Pazolam MG, 1 mg Blister 60 Unidade(s) Comp LM...[60]",49.0,genericos.csv
Alprazolam,2584282,"Alprazolam toLife MG, 0.5 mg Blister 60 Unidade(s) Comp...[60]",41.0,genericos.csv
Alprazolam,5823463,"Alprazolam Farmoz MG, 1 mg Blister 60 Unidade(s) Comp...[60]",39.0,genericos.csv
Alprazolam,9682336,"Alprazolam Pazolam MG, 1 mg Blister 60 Unidade(s) Comp...[60]",33.0,genericos.csv
Alprazolam,9682310,"Alprazolam Pazolam MG, 0.25 mg Blister 60 Unidade(s) Comp...[60]",28.0,genericos.csv
Alprazolam,5837687,"Alprazolam Sandoz MG, 1 mg Blister 60 Unidade(s) Comp...[60]",25.0,genericos.csv
Alprazolam,2584480,"Alprazolam toLife MG, 1 mg Blister 60 Unidade(s) Comp...[60]",25.0,genericos.csv
Alprazolam,2584084,"Alprazolam toLIfe MG, 0.25 mg Blister 60 Unidade(s) Comp...[60]",24.0,genericos.csv
Alprazolam,4183786,"Alprazolam Ratiopharm MG, 0.5 mg Blister 60 Unidade(s) Comp...[60]",17.0,genericos.csv
Alprazolam,5837588,"Alprazolam Sandoz MG, 0.5 mg Blister 60 Unidade(s) Comp...[60]",17.0,genericos.csv
Alprazolam,5837489,"Alprazolam Sandoz MG, 0.25 mg Blister 60 Unidade(s) Comp...[60]",15.0,genericos.csv
Alprazolam,4182887,"Alprazolam Ratiopharm MG, 0.25 mg Blister 60 Unidade(s) Comp...[60]",5.0,genericos.csv
Alprazolam,5421987,"Alprazolam Labesfal MG, 1 mg Blister 60 Unidade(s) Comp...[60]",1.0,genericos.csv
Alprazolam,5446380,"Alprazolam toLife MG, 1 mg Blister 60 Unidade(s) Comp LM...[60]",1.0,genericos.csv
Amlodipina,5999883,"Amlodipina Sandoz MG, 5 mg Blister 60 Unidade(s) Comp...[60]",276.0,genericos.csv
Amlodipina,5003793,"Amlodipina toLife 5 mg Comprimidos MG, 5 mg Blister 60 Unidade(s) Comp...[60]",99.0,genericos.csv
Amlodipina,5000138,"Amlodipina Sandoz MG, 10 mg Blister 60 Unidade(s) Comp...[60]",49.0,genericos.csv
Amlodipina,5727029,"Amlodipina + Olmesartan medoxomilo Sandoz MG, 5 mg + 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",37.0,genericos.csv
Amlodipina,5254370,"Amlodipina Krka MG, 5 mg Blister 60 Unidade(s) Comp...[60]",34.0,genericos.csv
Amlodipina,4017083,"Amlodipina Alter MG, 10 mg Blister 60 Unidade(s) Comp...[60]",27.0,genericos.csv
Amlodipina,5680632,"Amlodipina + Valsartan TAD MG, 5 mg + 160 mg Blister 56 Unidade(s) Comp revest pelic...[56]",20.0,genericos.csv
Amlodipina,5004098,"Amlodipina toLife 10 mg Comprimidos MG, 10 mg Blister 60 Unidade(s) Comp...[60]",19.0,genericos.csv
Amlodipina,5695804,"Amlodipina Aurovitas MG, 5 mg Blister 60 Unidade(s) Comp...[60]",18.0,genericos.csv
Amlodipina,5680624,"Amlodipina + Valsartan TAD MG, 5 mg + 80 mg Blister 56 Unidade(s) Comp revest pelic...[56]",17.0,genericos.csv
Amlodipina,5535885,"Amlodipina Generis MG, 10 mg Blister 60 Unidade(s) Comp...[60]",6.0,genericos.csv
Amlodipina,5254412,"Amlodipina Krka MG, 10 mg Blister 60 Unidade(s) Comp...[60]",6.0,genericos.csv
Amlodipina,5302914,"Amlodipina Mylan MG, 10 mg Blister 60 Unidade(s) Comp...[60]",6.0,genericos.csv
Amlodipina,5004593,"Amlodipina Azevedos MG, 10 mg Blister 30 Unidade(s) Comp...[30]",2.0,genericos.csv
Amlodipina,5302872,"Amlodipina Mylan MG, 5 mg Blister 60 Unidade(s) Comp...[60]",2.0,genericos.csv
Amlodipina,5673843,"Amlodipina + Valsartan Aurovitas MG, 5/160 mg x 56 comp rev...[56]",1.0,genericos.csv
Amlodipina,5684790,"Amlodipina Farmoz MG, 5 mg Blister 60 Unidade(s) Comp...[60]",1.0,genericos.csv
Atorvastatina,5261656,"Atorvastatina Krka MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",727.0,genericos.csv
Atorvastatina,5061106,"Atorvastatina Tecnigen MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",348.0,genericos.csv
Atorvastatina,5261722,"Atorvastatina Krka MG, 40 mg Blister 28 Unidade(s) Comp revest pelic...[28]",339.0,genericos.csv
Atorvastatina,5313309,"Atorvastatina Sandoz MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",311.0,genericos.csv
Atorvastatina,5261615,"Atorvastatina Krka MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",295.0,genericos.csv
Atorvastatina,5069463,"Atorvastatina Farmoz MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",274.0,genericos.csv
Atorvastatina,5069539,"Atorvastatina Farmoz MG, 40 mg Blister 28 Unidade(s) Comp revest pelic...[28]",273.0,genericos.csv
Atorvastatina,5061130,"Atorvastatina Tecnigen MG, 40 mg Blister 28 Unidade(s) Comp revest pelic...[28]",207.0,genericos.csv
Atorvastatina,5863329,"Atorvastatina Tolife MG, 20 mg Blister em dose unitária 28 Unidade(s) Comp revest pelic...[28]",163.0,genericos.csv
Atorvastatina,5642822,"Atorvastatina Zentiva MG, 80 mg Blister 28 Unidade(s) Comp revest pelic...[28]",141.0,genericos.csv
Atorvastatina,5808860,"Atorvastatina Pharmakern MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",139.0,genericos.csv
Atorvastatina,5863337,"Atorvastatina Tolife MG, 40 mg Blister em dose unitária 28 Unidade(s) Comp revest pelic...[28]",129.0,genericos.csv
